Name;Price;Km;Etat;Date;Carburant;Note;Number of reviews;"Accoudoir

";Assistant de démarrage en côte;"Capteurs d'aide au stationnement arrière
";Capteurs d'aide au stationnement avant;Climatisation;Climatisation automatique;Détecteur de lumière;Détecteur de pluie; Régulateur de vitesse; Rétroviseurs latéraux électriques; Sièges électriques;Start/Stop automatique;Système de navigation;Vitres électriques;Volant en cuir;Volant multifonctions
BMW 218 218i 136ch Lounge;EUR 14 290,-;103 729 km;Occasion;12/2015;Essence;N/A;0;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;True
BMW 320 (E93) 320D 184CH EXCLUSIVE;EUR 14 480,-;135 921 km;Occasion;11/2011;Diesel (Filtre à particules);N/A;0;False;False;True;False;False;False;False;False;True;True;True;True;True;True;False;False
BMW 120;EUR 14 490,-;109 000 km;Occasion;10/2014;Diesel (Filtre à particules);N/A;0;True;False;True;True;True;False;True;True;True;True;False;True;True;True;True;True
BMW 118 executive phase 2 gps garantie 12 mois;EUR 14 490,-;122 280 km;Occasion, Historique entretien;07/2017;Diesel;N/A;0;True;False;True;True;True;True;True;True;True;False;False;True;True;False;False;True
BMW i3 170 ch 60Ah;EUR 14 499,-;53 726 km;Occasion;07/2015;Electrique;5.0;-1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
BMW Z3 3.0i;EUR 14 500,-;138 000 km;Occasion;01/2001;Essence;4.5;-10;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False
BMW 114 114d 95ch Business Design 5p;EUR 14 900,-;116 585 km;Occasion;07/2018;Diesel (Filtre à particules);2.0;-2;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True
BMW 116 SERIE 1 F20 LCI (03/2015-06/2017) ch Business;EUR 14 990,-;90 416 km;Occasion, Historique entretien;12/2015;Diesel (Filtre à particules);N/A;0;True;True;True;False;True;True;True;True;False;True;False;True;True;True;True;False
BMW 318 SERIE 3 F30 (11/2011-07/2015) 143 ch;EUR 14 990,-;109 691 km;Occasion;01/2014;Diesel;N/A;0;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;True
BMW 116 116i 109ch Premiere 5p;EUR 14 990,-;66 034 km;Occasion;12/2015;Essence;N/A;0;False;True;False;False;True;True;True;True;False;True;False;True;False;True;True;False
BMW 218 SERIE 2 ACTIVE TOURER F45Active Tourer 150 Luxury;EUR 14 999,-;95 000 km;Occasion, Historique entretien;04/2015;Diesel;N/A;0;True;False;True;True;True;True;False;False;True;True;False;False;True;True;True;True
BMW 118 118d 143ch Sport 5p Cuir Xénon GPS Sièges chauf;EUR 14 999,-;95 053 km;Occasion;08/2014;Diesel (Filtre à particules);3.5;-6;True;True;True;False;False;False;True;True;False;False;False;True;True;False;False;False
BMW 520 SERIE 5 TOURING F11 LCI xDrive 190 ch Luxury;EUR 14 999,-;161 025 km;Occasion, Historique entretien;09/2014;Diesel (Filtre à particules);N/A;0;True;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True
BMW 120 SERIE 1 F20 X-Drive 190 ch Sport A;EUR 14 999,-;138 500 km;Occasion, Historique entretien;07/2016;Diesel;N/A;0;True;True;True;False;True;False;True;True;True;True;False;False;True;True;True;True
BMW i3 94 Ah 170 ch +Edition Lodge A;EUR 15 400,-;74 000 km;Occasion, Historique entretien;10/2017;Électrique;3.5;-1;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;True
BMW 216 216d 116 Active Tourer LOUNGE PLUS;EUR 15 640,-;97 000 km;Occasion;10/2017;Diesel;4.5;-5;;;;;;;;;;;;;;;;
BMW 520 SERIE 5 TOURING F11 LCI 190 ch Business A;EUR 15 699,-;169 326 km;Occasion, Historique entretien;05/2016;Diesel (Filtre à particules);N/A;0;True;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True
BMW 114 114d 95ch Business Design 5p;EUR 15 900,-;67 340 km;Occasion;07/2018;Diesel (Filtre à particules);N/A;0;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True
BMW X1 BMW X1 2.0 D 185 M SPORT XDRIVE BVA GARANTIE 12 MO;EUR 15 990,-;159 000 km;Occasion;06/2014;Diesel;4.5;-1;False;True;True;False;False;False;False;False;False;True;False;False;False;True;False;False
BMW X1 sDrive18dA 150ch Business;EUR 16 290,-;170 357 km;Occasion;10/2016;Diesel (Filtre à particules);4.0;-2;True;True;True;False;False;False;True;True;True;True;False;True;True;True;True;True
BMW 218 gran tourer executive 7 places cuir gps;EUR 16 490,-;107 320 km;Occasion, Historique entretien;07/2017;Diesel;N/A;0;True;False;True;True;False;False;True;True;True;False;False;True;True;True;False;True
BMW 320 320i 184ch Lounge;EUR 16 490,-;147 201 km;Occasion;06/2016;Essence;N/A;0;True;True;True;False;True;True;True;True;True;True;False;True;False;True;True;True
BMW 318 sport phase 2 gps toit ouvrant garantie 12 mois;EUR 16 990,-;99 020 km;Occasion, Historique entretien;01/2017;Diesel;N/A;0;True;True;True;True;False;False;True;True;True;True;False;True;True;True;True;True
BMW X3 Sport Design Steptronic A;"EUR 18.990,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 16 990,-";184 000 km;Occasion;01/2012;N/A;N/A;0;True;False;False;False;True;True;True;True;False;True;False;False;True;True;False;False
BMW i3 170ch 94Ah +CONNECTED Atelier;EUR 16 990,-;57 071 km;Occasion;10/2018;Electrique;5.0;-1;True;False;False;False;True;True;True;False;False;False;False;False;True;False;False;True
BMW i3 170ch 60Ah (REx) Black Edition Atelier;EUR 16 990,-;65 129 km;Occasion;04/2016;Electrique;4.0;-1;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;True
BMW 530 SERIE 5 TOURING 258ch PACK M EXTERIEUR;EUR 16 990,-;199 957 km;Occasion, Historique entretien;06/2013;Diesel;N/A;0;False;False;True;True;True;True;False;True;True;True;True;False;True;True;True;True
BMW i3 94 Ah 170 ch +Edition Suite A;EUR 17 000,-;45 900 km;Occasion, Historique entretien;03/2018;Électrique;3.5;-1;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False
BMW X5 M 3.0 D 245 LUXE XDRIVE;EUR 17 490,-;190 100 km;Occasion;09/2012;Diesel / Diesel écologique;N/A;0;True;False;False;False;True;True;False;True;True;False;True;False;False;True;False;True
BMW 320 SERIE 3 F30 190 ch Lounge Plus A;EUR 17 490,-;111 500 km;Occasion, Historique entretien;10/2015;Diesel;4.0;-3;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True
BMW 118 118dA 150ch UrbanChic 5p;EUR 17 890,-;77 801 km;Occasion;12/2016;Diesel;N/A;0;True;False;True;False;False;False;False;False;False;True;False;False;True;False;False;True
BMW 118 d 5-Türer Advantage Navi Bus. Tempomat USB;EUR 17 900,-;79 437 km;Occasion;11/2018;Diesel (Filtre à particules);4.5;-10;True;False;True;False;True;False;True;True;True;True;False;True;True;True;True;True
BMW 420 (F36) 420DA 190CH LOUNGE;EUR 17 990,-;148 648 km;Occasion;06/2017;Diesel;N/A;0;True;True;True;False;False;False;True;True;True;False;False;True;False;False;False;True
BMW 316 316d 116ch Lounge;EUR 17 999,-;68 827 km;Occasion;06/2016;Diesel;3.5;-6;True;True;True;False;True;True;True;True;True;False;False;True;False;False;False;True
BMW 318 318 IS;EUR 18 000,-;271 752 km;Occasion;08/1990;Essence;N/A;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
BMW 114 114d 95ch M Sport 5p;EUR 18 490,-;48 600 km;Occasion;05/2017;Diesel;5.0;-1;True;False;True;False;False;False;False;False;False;False;False;False;True;False;True;True
BMW 320 GRAN TURISMO;EUR 18 500,-;57 000 km;Occasion;05/2015;Essence;N/A;0;True;False;True;True;True;True;True;True;True;True;False;True;True;True;True;True
